identifier,name
edoardostoppaofficial,Edoardo Stoppa
alessiamarcuzzi,Alessia Marcuzzi
beb.ounce,BEBA
la_setta_dei_poeti_estinti,La Setta dei Poeti estinti
vale.exposito,Valentina Esposito
dio,Il Dio di Instagram
adua.del.vesco,Rosalinda Cannavò
gallobelotti,Andrea Belotti
fabiocannavaroofficial,🇮🇹Fabio Cannavaro🇮🇹
piergollo,Pierluigi Gollini 👑
corriere,Corriere della Sera
skysport,Sky Sport (Italia)
ghetto_trash,Ghetto Trash
virginia.stablum,VIRGINIA STABLUM
matildebrandireal,Matilde Brandi
i_casi_persi,i casi persi™
chaterinequaratino,Chaterine Quaratino
miti_da_sfatare,Miti Da Sfatare
puccirealofficial,Baccanandrea
maria_grazia_cucinotta,MariaGraziaCucinotta Official
officialsscnapoli,SSC Napoli
fattoincasadabenedetta,Benedetta Rossi
paolaturani,PAOLA TURANI
gliautogol,Gli Autogol
chefaticalavitadabomber,CHE FATICA LA VITA DA BOMBER®
barbaracarmelitadurso,Barbara d'Urso
inter,Inter
chiamarsibomber,Chiamarsi Bomber
calciatoriignoranti,Calciatori Ignoranti
marcomontemagno,Marco Montemagno
_quelsorrisomessocomescudo___,t u m b l r 🍒
bloccalo,Bloccalo
salvatoreesposito,Salvatore Esposito
gildaambrosio,Gilda
insanitypage,Insanity Page
caterinabalivo,Caterina Balivo
nancy_brilli_ufficiale,✨Nancy Brilli✨
fabriziocoronareal,Fabrizio Corona
ciakclub,CiakClub™
crazylittlecat007,Giusi
bakayoko_official14,Tiemoué Bakayoko 14 🇨🇮🇫🇷
onfirebae,RAP ONFIRE🔥
fabiofogna,Fabio Fognini
marek_hamsik_17_official,Marek Hamšík
brunovanzan_official,Bruno Vanzan
chiarabiasi,Chiara Biasi
danielre,Daniele Zaccone
marcobianchioff,marcobianchiOff
ioteeilmare,MARZIA SICIGNANO
pane_amore_eserietv,Pane_amore_eserieTV
checcadt,FRANCESCA DEL TAGLIA
ansiatotale,Ansia Totale
gina_cianni,❤ Gina 😎
gabrieleparpiglia,Gabriele Parpiglia
commenti_memorabili,Commenti Memorabili
saraquattrociocche,Sara Quattrociocche
siicomebob,🔥💕Meme e Video💕🔥
paodb,Paola Di Benedetto
serenarossiofficial,Serena Rossi
jolefiore,Jolanda De Rienzo
striscialanotizia,Striscia la notizia
francescadeandre,Francesca De André
giorgioalfieri_industry,Giorgio  Alfieri
poivorrei,poivorrei
nonsonobellomaspaccio_official,Non sono bello ma spaccio
cesarecremonini,cesarecremonini
marynaofficial,Maryna
filmdavedereprimadimorire,Film da vedere prima di morire
marcellobarenghi,Marcello Barenghi
francescaciprianiofficial,Francesca Cipriani D'Altorio
leperledipinna,A. Andrea Pinna
frasi_king,Frasi King
movimento5stelle,MoVimento 5 Stelle
movimento5litri,Movimento 5 Litri
valeyellow46,Valentino Rossi
vanityfairitalia,Vanity Fair Italia
chiarainpentola,Chiara Maci
ligabue_official,Luciano Ligabue
lercio.it,Lercio
giuliettacavaglia,GC   💃🏻 gιυℓιєттα ¢αναgℓια
carlotta.rubaltelli,Carlotta Rubaltelli
raoulbovagram,Raoul Bova
vittoriaottaviano,vittoria ottaviano
quelmomento,QMIC | Unica Pagina Ufficiale
margheritamolinari_,Margherita Molinari
enricomentana,Enrico Mentana
muri_puliti_popoli_muti,Muri Puliti Popoli Muti
riccardo__bosio,RICCARDO BOSIO
sabrinasalernofficial,SABRINA SALERNO OFFICIAL
martina_bantik,🎀 BANTIK 🎀 Martina M.
patrickcutrone,Patrick Cutrone
rebecca.orsolini,𝑅𝑒𝑏𝑒𝑐𝑐𝑎 𝑂𝑟𝑠𝑜𝑙𝑖𝑛𝑖
valentinaferragni,Valentina Ferragni
mrmancini10,Roberto Mancini
angela___costa,Angela_Costa
